"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","NA","NA"
"2306","Matisia oblongifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2308","Maytenus ala","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2309","Maytenus boaria","temperate","AM",0,"angiosperm",6.50208332762122,1220.5
"2311","Maytenus ebenifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2312","Maytenus heterophylla","tropical","AM",0,"angiosperm",19.8979164709648,9
"2313","Maytenus hookeri","tropical","AM",0,"angiosperm",22.1708331902822,1289
"2314","Maytenus ilicifolia","tropical","AM",0,"angiosperm",20.1291666428248,1349
"2315","Maytenus macrocarpa","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2317","Maytenus oleoides","temperate","AM",0,"angiosperm",17.3716667294502,666.8
"2319","Maytenus senegalensis","tropical","AM",0,"angiosperm",25.8433822644692,906.294117647059
"2321","Melaleuca acerosa","temperate","ECM",0,"angiosperm",18.5395831962427,721
"2323","Melaleuca leucadendra","tropical","ECM",0,"angiosperm",27.4583334922791,1806
"2327","Melaleuca squarrosa","temperate","ECM",0,"angiosperm",9.90000000596046,1539
"2330","Melaleuca uncinata","temperate","ECM",0,"angiosperm",17.2266026066664,423.307692307692
"2331","Melaleuca viridiflora","tropical","ECM",0,"angiosperm",27.191666841507,1615
"2333","Melastoma candidum","tropical","AM",0,"angiosperm",23.0416667064031,1848
"2334","Melastoma dodecandrum","tropical","AM",0,"angiosperm",23.3750000794729,1817.66666666667
"2336","Melastoma sanguineum","tropical","AM",0,"angiosperm",21.4416666560703,1803.33333333333
"2337","Melicoccus novogranatensis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2338","Melicope pteleifolia","tropical","AM",0,"angiosperm",21.762499888738,1790
"2339","Melicytus ramiflorus","temperate","AM",0,"angiosperm",11.257196928064,2644.54545454545
"2340","Meliosma arnottiana","tropical","AM",0,"angiosperm",20.5000000397364,1579
"2341","Meliosma brenesii","tropical","AM",0,"angiosperm",22.908333381017,3073
"2342","Meliosma cuneifolia","tropical","AM",0,"angiosperm",21.0083332856496,1818
"2343","Meliosma doly","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2344","Meliosma glabrata","tropical","AM",0,"angiosperm",19.9916667143504,2383
"2346","Meliosma idiopoda","tropical","AM",0,"angiosperm",19.9916667143504,2383
"2347","Meliosma rigida","tropical","AM",0,"angiosperm",16.8083332479,1236
"2348","Meliosma vasquezii","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2349","Meliosma vernicosa","tropical","AM",0,"angiosperm",14.620833158493,2286
"2350","Meliosma wightii","tropical","AM",0,"angiosperm",16.304166674614,2013
"2352","Melodinus cochinchinensis","tropical","AM",0,"angiosperm",19.6041667064031,1564
"2353","Memecylon ligustrifolium","tropical","AM",0,"angiosperm",20.9319444629881,1823
"2357","Mesua ferrea","tropical","AM",0,"angiosperm",23.2458333969116,1357
"2358","Metaplexis japonica","temperate","AM",0,"angiosperm",7.03333347042402,433
"2359","Metrodorea flavida","tropical","AM",0,"angiosperm",25.5041666030884,2251
"2360","Metrosideros excelsa","temperate","AM",0,"angiosperm",13.9041666686535,1295
"2361","Metrosideros fulgens","temperate","AM",0,"angiosperm",10.5708333551884,3335
"2362","Metrosideros polymorpha","tropical","AM",0,"angiosperm",14.5849359042943,1678.36923076923
"2363","Metrosideros robusta","temperate","AM",0,"angiosperm",13.9041666686535,1295
"2364","Metrosideros umbellata","temperate","AM",0,"angiosperm",11.5200320400107,2747.38461538462
"2365","Michelia balansae","tropical","AM",0,"angiosperm",23.8208331664403,1670
"2366","Michelia floribunda","tropical","AM",0,"angiosperm",19.6041667064031,1564
"2367","Michelia macclurei","tropical","AM",0,"angiosperm",18.4499999980132,1596.66666666667
"2368","Michelia mediocris","tropical","AM",0,"angiosperm",23.2458333969116,1357
"2369","Michelia nilagirica","tropical","AM",0,"angiosperm",16.220833381017,2027
"2370","Miconia acinodendron","tropical","AM",0,"angiosperm",25.4430554972755,1990.33333333333
"2371","Miconia albicans","tropical","AM",0,"angiosperm",22.1075758392161,1086.36363636364
"2372","Miconia argentea","tropical","AM",0,"angiosperm",26.5427083273729,1980.5
"2373","Miconia aurea","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2374","Miconia borealis","tropical","AM",0,"angiosperm",26.125,2370
"2375","Miconia bubalina","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2376","Miconia calvescens","tropical","AM",0,"angiosperm",22.7499998410543,3202
"2377","Miconia cazaletii","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2378","Miconia centrodesma","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2379","Miconia crassinervia","tropical","AM",0,"angiosperm",25.5041666030884,2251
"2380","Miconia decurrens","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2381","Miconia dispar","tropical","AM",0,"angiosperm",26.2750000953674,3445
"2382","Miconia dolichorrhyncha","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2383","Miconia donaeana","tropical","AM",0,"angiosperm",24.4089844549696,2994.71875
"2384","Miconia elata","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2385","Miconia fallax","tropical","AM",0,"angiosperm",22.9541667699814,956
"2386","Miconia ferruginata","tropical","AM",0,"angiosperm",22.1933824338165,1281.88235294118
"2387","Miconia fosteri","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2388","Miconia fragilis","tropical","AM",0,"angiosperm",25.7541666030884,3136
"2389","Miconia grandifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2390","Miconia lepidota","tropical","AM",0,"angiosperm",25.8416666984558,1880
"2391","Miconia ligustroides","tropical","AM",0,"angiosperm",19.8500000238419,1434
"2392","Miconia minutiflora","tropical","AM",0,"angiosperm",26.125,2370
"2394","Miconia napoana","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2395","Miconia nervosa","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2396","Miconia pilgeriana","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2397","Miconia poeppigii","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2399","Miconia punctata","tropical","AM",0,"angiosperm",25.3775000572205,3017.2
"2400","Miconia purpono","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2402","Miconia ruficalyx","tropical","AM",0,"angiosperm",25.8416666984558,1880
"2403","Miconia smaragdina","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2405","Miconia tipica","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2406","Miconia tomentosa","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2407","Miconia tonduzii","tropical","AM",0,"angiosperm",19.0361111473154,2381
"2408","Miconia trinervia","tropical","AM",0,"angiosperm",25.492857163293,3015.54285714286
"2409","Miconia triplinervis","tropical","AM",0,"angiosperm",26.0916666984558,2524
"2410","Miconia tschudyoides","tropical","AM",0,"angiosperm",25.6875,2814
"2411","Micrandra elata","tropical","AM",0,"angiosperm",26.1249999205271,2660
"2412","Micrandra siphonioides","tropical","AM",0,"angiosperm",26.3020832935969,2410.5
"2413","Micrandra sprucei","tropical","AM",0,"angiosperm",26.2720589100146,3396.70588235294
"2414","Micrandropsis scleroxylon","tropical","AM",0,"angiosperm",26.3333332538605,2386
"2416","Microcos paniculata","tropical","AM",0,"angiosperm",22.8739582598209,1559
"2417","Microcos tomentosa","tropical","AM",0,"angiosperm",27.8208332856496,1256
"2418","Microdesmis caseariifolia","tropical","AM",0,"angiosperm",21.4416666560703,1803.33333333333
"2420","Micromyrtus sessilis","temperate","ECM",0,"angiosperm",17.3875000344382,419.333333333333
"2421","Micropholis brochidodroma","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2422","Micropholis cayennensis","tropical","AM",0,"angiosperm",25.573106173313,3206.45454545455
"2423","Micropholis dorada","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2424","Micropholis egensis","tropical","AM",0,"angiosperm",25.4958333969116,3011.66666666667
"2426","Micropholis guyanensis","tropical","AM",0,"angiosperm",25.7782407742959,2810.57777777778
"2427","Micropholis longipedicellata","tropical","AM",0,"angiosperm",25.3588542342186,3257.875
"2428","Micropholis maguirei","tropical","AM",0,"angiosperm",26.2750000953674,3445
"2430","Micropholis obscura","tropical","AM",0,"angiosperm",25.7187500794729,2685
"2431","Micropholis porphyrocarpa","tropical","AM",0,"angiosperm",25.4916667938232,3106
"2432","Micropholis sanctae-rosae","tropical","AM",0,"angiosperm",25.5572917461395,3113.5
"2433","Micropholis venulosa","tropical","AM",0,"angiosperm",25.4729167222977,2966.25
"2434","Micropholis williamii","tropical","AM",0,"angiosperm",26.3916665712992,2360
"2435","Miliusa tomentosa","tropical","AM",0,"angiosperm",25.4391667207082,988.4
"2436","Millettia leptobotrya","tropical","AM",1,"angiosperm",21.1819444762336,1624.33333333333
"2439","Mimosa claussenii","tropical","AM",1,"angiosperm",22.6291668017705,1428
"2440","Mimosa tenuiflora","tropical","AM",1,"angiosperm",25.870833158493,1629
"2441","Mimulus aurantiacus","temperate","AM",0,"angiosperm",13.7285713879835,594.428571428571
"2442","Minquartia guianensis","tropical","AM",0,"angiosperm",25.731071413131,2624.62857142857
"2443","Mischocarpus pentapetalus","tropical","AM",0,"angiosperm",22.3083333969116,1774
"2444","Mitragyna parviflora","tropical","AM",0,"angiosperm",26.3458332353168,1044
"2445","Mitrephora tomentosa","tropical","AM",0,"angiosperm",21.6624999841054,1698
"2446","Monanthotaxis caffra","temperate","AM",0,"angiosperm",17.6666666865349,767
"2449","Monotes glaber","tropical","ECM",0,"angiosperm",22.515833179156,743.4
"2451","Morinda umbellata","tropical","AM",0,"angiosperm",16.2375000980165,1407.66666666667
"2453","Moronobea coccinea","tropical","AM",0,"angiosperm",25.7102941251269,2785.41176470588
"2454","Moronobea pablo","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2456","Morus alba","temperate","AM",0,"angiosperm",16.8573717586696,518.692307692308
"2457","Morus cathayana","temperate","AM",0,"angiosperm",10.2333332523704,819
"2458","Morus insignis","tropical","AM",0,"angiosperm",14.620833158493,2286
"2460","Mouriri acutiflora","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2461","Mouriri crassifolia","tropical","AM",0,"angiosperm",25.6546296808455,2830
"2462","Mouriri dimorphandra","tropical","AM",0,"angiosperm",25.3833332856496,1869
"2463","Mouriri gleasoniana","tropical","AM",0,"angiosperm",24.1694444550408,3053.33333333333
"2464","Mouriri grandiflora","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2465","Mouriri myrtilloides","tropical","AM",0,"angiosperm",26.09305551317,2043.5
"2466","Mouriri nigra","tropical","AM",0,"angiosperm",25.9597222540114,2473.66666666667
"2467","Mouriri sagotiana","tropical","AM",0,"angiosperm",26.2291669845581,2518
"2469","Muntingia calabura","tropical","AM",0,"angiosperm",25.870833158493,1629
"2471","Mussaenda erosa","tropical","AM",0,"angiosperm",20.9333333571752,1473
"2472","Mussaenda pubescens","tropical","AM",0,"angiosperm",18.320833446251,1474.33333333333
"2474","Mussaenda shikokiana","tropical","AM",0,"angiosperm",17.366666490833,1346
"2475","Mycetia gracilis","tropical","AM",0,"angiosperm",21.6624999841054,1698
"2476","Myoporum bontioides","tropical","AM",0,"angiosperm",22.5708334445953,1670
"2477","Myoporum insulare","temperate","AM",0,"angiosperm",19.366666674614,558
"2478","Myoporum platycarpum","temperate","AM",0,"angiosperm",17.5041666527589,263
"2479","Myoporum sandwicense","tropical","AM",0,"angiosperm",6.4479166350017,1056
"2480","Myrceugenia planipes","temperate","AM",0,"angiosperm",10.1840909287108,2159
"2481","Myrciaria cauliflora","tropical","AM",0,"angiosperm",25.387499888738,1875
"2483","Myrica esculenta","tropical","AM",1,"angiosperm",15.0400000281632,1734.8
"2484","Myrica faya","tropical","AM",1,"angiosperm",19.783333381017,2077
"2486","Myrica rubra","tropical","AM",1,"angiosperm",15.5088332486153,1095.64
"2487","Myristica globosa","tropical","AM",0,"angiosperm",22.862500111262,2430
"2488","Myrospermum frutescens","tropical","AM",0,"angiosperm",26.3958332935969,1658.5
"2489","Myroxylon balsamum","tropical","AM",0,"angiosperm",25.3027778466543,2909
"2490","Myrrhidendron donnellsmithii","tropical","AM",0,"angiosperm",11.3916666110357,2365
"2491","Myrsine africana","tropical","AM",0,"angiosperm",15.3932691376943,1039.76923076923
"2492","Myrsine coriacea","tropical","AM",0,"angiosperm",18.1172619802611,1015
"2494","Myrsine gardneriana","tropical","AM",0,"angiosperm",20.5208333730698,1443
"2495","Myrsine guianensis","tropical","AM",0,"angiosperm",22.6291668017705,1428
"2496","Myrsine juergensenii","tropical","AM",0,"angiosperm",15.8447916656733,1728.25
"2497","Myrsine kwangsiensis","tropical","AM",0,"angiosperm",19.0291667381922,1786
"2498","Myrsine lessertiana","tropical","AM",0,"angiosperm",6.4479166350017,1056
"2501","Myrsine seguinii","tropical","AM",0,"angiosperm",19.7847223521935,1837.5
"2503","Myrtus communis","temperate","AM",0,"angiosperm",17.2825000191728,505.2
"2504","Mytilaria laosensis","tropical","AM",0,"angiosperm",19.3860507581545,1630.08695652174
"2505","Nandina domestica","tropical","AM",0,"angiosperm",17.2336458216111,1351.55
"2507","Naucleopsis glabra","tropical","AM",0,"angiosperm",25.3736111323039,2827
"2508","Naucleopsis guianensis","tropical","AM",0,"angiosperm",25.2916667461395,3175
"2509","Naucleopsis imitans","tropical","AM",0,"angiosperm",25.40625,2683
"2510","Naucleopsis krukovii","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2511","Naucleopsis ulei","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2512","Nealchornea yapurensis","tropical","AM",0,"angiosperm",26.2291667461395,3149
"2514","Nectandra membranacea","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2516","Neea altissima","tropical","ECM",0,"angiosperm",25.5041666030884,2251
"2517","Neea bajio","tropical","ECM",0,"angiosperm",25.3083333969116,3115
"2518","Neea claudia","tropical","ECM",0,"angiosperm",25.3083333969116,3115
"2519","Neea comun","tropical","ECM",0,"angiosperm",25.3083333969116,3115
"2520","Neea divaricata","tropical","ECM",0,"angiosperm",25.2562501430511,2474
"2521","Neea floribunda","tropical","ECM",0,"angiosperm",25.4916667938232,3106
"2522","Neea hermaphrodita","tropical","ECM",0,"angiosperm",25.6208333969116,1142
"2523","Neea macrophylla","tropical","ECM",0,"angiosperm",25.2562501430511,2474
"2524","Neea obovata","tropical","ECM",0,"angiosperm",26.2750000953674,3445
"2525","Neea oppositifolia","tropical","ECM",0,"angiosperm",26.2708333333333,2435
"2526","Neea supercrasa","tropical","ECM",0,"angiosperm",25.3083333969116,3115
"2527","Neolitsea cambodiana","tropical","AM",0,"angiosperm",22.3083333969116,1774
"2528","Neolitsea phanerophlebia","tropical","AM",0,"angiosperm",16.9041667977969,1817
"2529","Neolitsea sericea","temperate","AM",0,"angiosperm",14.8895833355685,1646.5
"2530","Neomyrtus pedunculata","temperate","AM",0,"angiosperm",10.5708333551884,3335
"2532","Neonauclea purpurea","tropical","AM",0,"angiosperm",21.6624999841054,1698
"2533","Neopanax arboreus","temperate","AM",0,"angiosperm",13.9041666686535,1295
"2534","Neopanax colensoi","temperate","AM",0,"angiosperm",10.5708333551884,3335
"2535","Nephelium chryseum","tropical","AM",0,"angiosperm",21.9854166905085,1736
"2536","Nephelium lappaceum","tropical","AM",0,"angiosperm",21.9270833532015,1448
"2537","Nerium oleander","temperate","AM",0,"angiosperm",16.7760416405896,564.5
"2538","Nestegis lanceolata","temperate","AM",0,"angiosperm",13.9041666686535,1295
"2540","Notelaea ligustrina","temperate","AM",0,"angiosperm",10.7791665941477,1295
"2541","Notelaea longifolia","temperate","AM",0,"angiosperm",17.8791666030884,1244
"2544","Nothofagus betuloides","temperate","ECM",0,"angiosperm",9.0550000064075,1984.6
"2545","Nothofagus cunninghamii","temperate","ECM",0,"angiosperm",10.7791665941477,1295
"2546","Nothofagus dombeyi","temperate","ECM",0,"angiosperm",12.1266666893123,1502.6
"2549","Nothofagus nervosa","temperate","ECM",0,"angiosperm",6.80833337766429,1177
"2550","Nothofagus nitida","temperate","ECM",0,"angiosperm",8.48928571385997,2028.14285714286
"2551","Nothofagus obliqua","temperate","ECM",0,"angiosperm",11.2493055681698,934
"2552","Nothofagus pumilio","temperate","ECM",0,"angiosperm",10.7183333480731,861.8
"2553","Nothofagus solandri","temperate","ECM",0,"angiosperm",11.4499999880791,1233
"2555","Nyctanthes arbor-tristis","tropical","AM",0,"angiosperm",26.3458332353168,1044
"2559","Ochna pulchra","tropical","AM",0,"angiosperm",21.4933333317439,790
"2561","Ocotea canaliculata","tropical","AM",0,"angiosperm",25.8416666984558,1880
"2562","Ocotea floribunda","tropical","AM",0,"angiosperm",21.4798611534966,2456.66666666667
"2563","Ocotea guianensis","tropical","AM",0,"angiosperm",25.6208333969116,1142
"2568","Oenocarpus bacaba","tropical","AM",0,"angiosperm",25.9141666730245,2654.4
"2569","Oenocarpus bataua","tropical","AM",0,"angiosperm",25.5906667327881,3033.68
"2570","Oenocarpus mapora","tropical","AM",0,"angiosperm",26.2887254789764,2443.94117647059
"2574","Olearia avicenniaefolia","temperate","AM",0,"angiosperm",10.5708333551884,3335
"2575","Olearia pimeleoides","temperate","AM",0,"angiosperm",17.3822917011049,419.833333333333
"2576","Olearia rani","temperate","AM",0,"angiosperm",13.9041666686535,1295
"2577","Oligostachyum nuspiculum","tropical","AM",0,"angiosperm",20.2833333015442,1567
"2581","Oncinotis tenuiloba","tropical","AM",0,"angiosperm",19.599999944369,1021
"2583","Onychopetalum lucidum","tropical","AM",0,"angiosperm",25.5041666030884,2251
"2585","Oreopanax nubigenus","tropical","AM",0,"angiosperm",11.3916666110357,2365
"2587","Oreopanax xalapensis","tropical","AM",0,"angiosperm",13.432843042355,2315.76470588235
"2588","Ormosia glaberrima","tropical","AM",1,"angiosperm",21.4416666560703,1803.33333333333
"2590","Orophea creaghii","tropical","AM",0,"angiosperm",21.0562499761581,1671
"2591","Oroxylum indicum","tropical","AM",0,"angiosperm",23.2458333969116,1357
"2594","Osmanthus cooperi","temperate","AM",0,"angiosperm",15.0791665166616,1397
"2595","Osmanthus didymopetalus","tropical","AM",0,"angiosperm",23.5708334048589,1329
"2596","Osmanthus fragrans","temperate","AM",0,"angiosperm",16.0083333862325,1157.5
"2597","Ostodes paniculata","tropical","AM",0,"angiosperm",22.3513887723287,1512
"2599","Ostrya virginiana","temperate","ECM",0,"angiosperm",5.58873631424124,1135.93406593407
"2600","Ostryopsis davidiana","temperate","ECM",0,"angiosperm",6.57083330800136,463.8
"2601","Otoba glycycarpa","tropical","AM",0,"angiosperm",25.6152778466543,3126.33333333333
"2603","Oubanguia alata","tropical","AM",0,"angiosperm",24.8083332379659,2652
"2604","Ouratea castaneifolia","tropical","AM",0,"angiosperm",22.6291668017705,1428
"2605","Ouratea discophora","tropical","AM",0,"angiosperm",26.387499888738,2352
"2606","Ouratea hexasperma","tropical","AM",0,"angiosperm",22.2451191391264,1258.74285714286
"2607","Ouratea lucens","tropical","AM",0,"angiosperm",26.0402777459886,1903
"2608","Ovidia pillopillo","temperate","AM",0,"angiosperm",9.0550000064075,1984.6
"2609","Oxandra asbeckii","tropical","AM",0,"angiosperm",25.6860772419751,2850.12195121951
"2611","Oxandra mediocris","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2612","Oxandra riedeliana","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2614","Oxandra xylopioides","tropical","AM",0,"angiosperm",25.5041666030884,2251
"2616","Pachira aquatica","tropical","AM",0,"angiosperm",24.4625000158946,2366.33333333333
"2617","Pachira humilis","tropical","AM",0,"angiosperm",26.2750000953674,3445
"2618","Pachira insignis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2619","Pachira quinata","tropical","AM",0,"angiosperm",26.7916666666667,2142
"2621","Paederia foetida","temperate","AM",0,"angiosperm",15.9049999376138,1208.4
"2622","Paederia scandens","temperate","AM",0,"angiosperm",15.6458333606521,1031
"2625","Palicourea eurycarpa","tropical","AM",0,"angiosperm",23.6041666666667,2093
"2627","Palicourea guianensis","tropical","AM",0,"angiosperm",25.3333333598243,2699.66666666667
"2628","Palicourea nigricans","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2634","Pappea capensis","tropical","AM",0,"angiosperm",21.1130952239037,611.428571428571
"2635","Parahancornia fasciculata","tropical","AM",0,"angiosperm",26.2458334498935,2449.33333333333
"2636","Parahancornia peruviana","tropical","AM",0,"angiosperm",26.220833381017,3155
"2637","Parashorea chinensis","tropical","ECM",0,"angiosperm",22.5958334207535,1650
"2638","Parashorea malaanonan","tropical","ECM",0,"angiosperm",27.2958333492279,2637
"2640","Parkia nitida","tropical","AM",0,"angiosperm",25.7393939639583,2798.27272727273
"2642","Parthenocissus laetevirens","tropical","AM",0,"angiosperm",16.3708334118128,1284
"2644","Parthenocissus tricuspidata","temperate","AM",0,"angiosperm",17.8208333038621,1117
"2645","Passerina vulgaris","temperate","AM",0,"angiosperm",16.7458333571752,399
"2647","Paullinia cururu","tropical","AM",0,"angiosperm",26.5645832220713,1718.5
"2648","Paullinia imberbis","tropical","AM",0,"angiosperm",22.908333381017,3073
"2650","Paullinia tomentosa","tropical","AM",0,"angiosperm",21.2625002066294,1015
"2652","Paullinia xestophylla","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2653","Paulownia kawakamii","tropical","AM",0,"angiosperm",19.3958335320155,1629
"2654","Paulownia tomentosa","temperate","AM",0,"angiosperm",8.40416667362054,726
"2655","Pausandra trianae","tropical","AM",0,"angiosperm",24.5000000397364,2798.5
"2657","Pelargonium citronellum","temperate","AM",0,"angiosperm",16.6937499642372,291
"2658","Pelargonium cucullatum","temperate","AM",0,"angiosperm",16.2454166273276,662.7
"2659","Pelargonium papilionaceum","temperate","AM",0,"angiosperm",16.4999998807907,586
"2660","Pelargonium scabrum","temperate","AM",0,"angiosperm",17.1500001649062,341
"2661","Pelargonium zonale","temperate","AM",0,"angiosperm",16.5958332618078,620
"2662","Peltogyne paniculata","tropical","AM",0,"angiosperm",25.6875,2814
"2663","Peltogyne venosa","tropical","AM",0,"angiosperm",25.7000000476837,2901.16666666667
"2664","Peltophorum pterocarpum","tropical","AM",0,"angiosperm",28.1479165156682,1058.5
"2665","Penaea mucronata","tropical","AM",0,"angiosperm",25.3833335240682,1040
"2666","Pennantia corymbosa","temperate","AM",0,"angiosperm",13.9041666686535,1295
"2667","Pentagonia parvifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2668","Pentaphylax euryoides","tropical","AM",0,"angiosperm",23.7374999125799,1556.33333333333
"2669","Pentaplaris huaoranica","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2670","Pera arborea","tropical","AM",0,"angiosperm",22.908333381017,3073
"2671","Pera bicolor","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2672","Perebea angustifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2673","Perebea guianensis","tropical","AM",0,"angiosperm",25.3450000762939,3113.2
"2675","Perebea mollis","tropical","AM",0,"angiosperm",25.5124999947018,2290
"2676","Perebea tessmannii","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2677","Perebea xanthochyma","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2678","Pereskia aculeata","tropical","AM",0,"angiosperm",22.9708332220713,1149
"2680","Pericampylus glaucus","tropical","AM",0,"angiosperm",18.3291667848825,1633
"2681","Peridiscus lucidus","tropical","AM",0,"angiosperm",26.3333332538605,2386
"2682","Periploca sepium","temperate","AM",0,"angiosperm",10.103373012195,507.142857142857
"2683","Perrottetia longistylis","tropical","AM",0,"angiosperm",14.620833158493,2286
"2684","Persea americana","tropical","AM",0,"angiosperm",18.5891666650772,1221.2
"2686","Persea lingue","temperate","AM",0,"angiosperm",6.97083336839245,1272.66666666667
"2687","Persea thunbergii","temperate","AM",0,"angiosperm",14.8656250114242,1554.75
"2689","Pertusadina metcalfii","tropical","AM",0,"angiosperm",23.5708334048589,1329
"2690","Petalostigma quadriloculare","tropical","AM",0,"angiosperm",27.3145832618078,1016
"2691","Petrea volubilis","tropical","AM",0,"angiosperm",25.870833158493,1629
"2693","Phellodendron amurense","temperate","AM",0,"angiosperm",3.55112616826889,603.108108108108
"2694","Philadelphus schrenkii","temperate","AM",0,"angiosperm",2.66597224430492,666
"2695","Philadelphus tenuifolius","temperate","AM",0,"angiosperm",4.25520830958461,597.25
"2696","Phillyrea angustifolia","temperate","AM",0,"angiosperm",15.8715908959734,548.090909090909
"2697","Phillyrea latifolia","temperate","AM",0,"angiosperm",13.6046875241833,628.208333333333
"2700","Phlomis italica","temperate","AM",0,"angiosperm",16.120833337307,631
"2701","Phlomis purpurea","temperate","AM",0,"angiosperm",17.3187499095996,553
"2702","Phoebe puwenensis","tropical","AM",0,"angiosperm",20.5000000397364,1579
"2704","Photinia glabra","tropical","ECM",0,"angiosperm",17.6069443739123,1368.66666666667
"2705","Photinia melanocarpa","temperate","AM",0,"angiosperm",5.54583324988683,927
"2706","Phyllanthus emblica","tropical","AM",0,"angiosperm",22.6869046290716,1411.14285714286
"2707","Phyllocladus trichomanoides","temperate","AM",0,"gymnosperm",12.7930555641651,1975
"2708","Phyllostachys edulis","tropical","AM",0,"angiosperm",19.7791667779287,1544
"2709","Phyllostachys heteroclada","temperate","AM",0,"angiosperm",15.6458333606521,1031
"2710","Phyllostachys pubescens","tropical","AM",0,"angiosperm",19.7791667779287,1544
"2711","Phyllota phylicoides","temperate","ECM",1,"angiosperm",17.7173610760106,1249.66666666667
"2714","Phytelephas tenuicaulis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2716","Picea abies","boreal","ECM",0,"gymnosperm",6.02898605831994,867.699421965318
"2717","Picea asperata","temperate","ECM",0,"gymnosperm",0.27916668024328,716.666666666667
"2718","Picea balfouriana","temperate","ECM",0,"gymnosperm",2.57916675508022,509
"2719","Picea crassifolia","temperate","ECM",0,"gymnosperm",8.82500009735425,191
"2720","Picea engelmannii","temperate","ECM",0,"gymnosperm",0.735000001770203,633.311111111111
"2721","Picea glauca","temperate","ECM",0,"gymnosperm",5.1628787612091,818.181818181818
"2722","Picea glehnii","temperate","ECM",0,"gymnosperm",4.50833343093594,1177
"2723","Picea jezoensis","temperate","ECM",0,"gymnosperm",0.11093748981754,768.375
"2724","Picea koraiensis","temperate","ECM",0,"gymnosperm",2.64583339421626,602.294117647059
"2725","Picea likiangensis","temperate","ECM",0,"gymnosperm",2.57916675508022,509
"2726","Picea mariana","boreal","ECM",0,"gymnosperm",-1.6229167172755,507.520408163265
"2727","Picea meyeri","tropical","ECM",0,"gymnosperm",13.0588542763144,1274.625
"2729","Picea purpurea","temperate","ECM",0,"gymnosperm",2.57916675508022,509
"2730","Picea rubens","temperate","ECM",0,"gymnosperm",4.21150396490324,1332.47410358566
"2731","Picea schrenkiana","temperate","ECM",0,"gymnosperm",1.72916665921609,249
"2732","Picea sitchensis","boreal","ECM",0,"gymnosperm",8.21051588162248,1267.04761904762
"2733","Picea sp.","boreal","ECM",0,"gymnosperm",-1.02916651777923,744
"2734","Picea wilsonii","tropical","ECM",0,"gymnosperm",17.8569445650404,1625.33333333333
"2735","Picramnia antidesma","tropical","AM",0,"angiosperm",14.620833158493,2286
"2736","Picramnia juniniana","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2737","Picramnia magnifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2738","Picramnia mini","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2739","Picramnia pubibul","tropical","AM",0,"angiosperm",25.3083333969116,3115
"2740","Picramnia pubirecta","tropical","AM",0,"angiosperm",25.3083333969116,3115
