"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","NA","NA"
"219","Alnus rubra","temperate","ECM",1,"angiosperm",9.38541672916876,1335.5
"220","Alnus rugosa","temperate","ECM",1,"angiosperm",6.14333324364076,928.2
"222","Alnus sibirica","temperate","ECM",1,"angiosperm",3.20104166803261,743.75
"223","Alnus sinuata","temperate","ECM",1,"angiosperm",1.03749999900659,1550
"224","Alnus viridis","boreal","ECM",1,"angiosperm",-3.57666661726932,300.2
"225","Aloysia wrightii","temperate","AM",0,"angiosperm",20.5083332359791,334
"226","Alphonsea mollis","tropical","AM",0,"angiosperm",20.7499999403954,1592
"227","Alphonsea monogyna","tropical","AM",0,"angiosperm",21.6624999841054,1698
"228","Alseis blackiana","tropical","AM",0,"angiosperm",26.1416666507721,2213
"229","Alseis lugonis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"230","Alseodaphne hainanensis","tropical","AM",0,"angiosperm",20.2833333015442,1567
"231","Alstonia actinophylla","tropical","AM",0,"angiosperm",27.7166666984558,1569
"232","Alstonia boonei","tropical","AM",0,"angiosperm",26.6583334604899,1489
"233","Alstonia muelleriana","tropical","AM",0,"angiosperm",21.0875000953674,2464
"234","Alstonia scholaris","tropical","AM",0,"angiosperm",22.8260417481263,1738.5
"235","Altingia gracilipes","tropical","AM",0,"angiosperm",17.9791665673256,1754
"236","Altingia obovata","tropical","AM",0,"angiosperm",23.5020834604899,1353.66666666667
"237","Alvaradoa amorphoides","tropical","AM",0,"angiosperm",27.6333335240682,1789
"238","Alyxia sinensis","tropical","AM",0,"angiosperm",20.1645834445953,1551
"239","Amaioua corymbosa","tropical","AM",0,"angiosperm",25.2562501430511,2474
"240","Amaioua guianensis","tropical","AM",0,"angiosperm",25.6557292143504,2254.75
"241","Ambelania acida","tropical","AM",0,"angiosperm",25.7616667429606,2434.2
"242","Ambrosia dumosa","temperate","AM",0,"angiosperm",15.5044754916848,141.592592592593
"243","Amelanchier alnifolia","temperate","AM",0,"angiosperm",9.59999983509382,302
"247","Amesiodendron chinense","tropical","AM",0,"angiosperm",20.2833333015442,1567
"248","Ammopiptanthus mongolicus","temperate","AM",1,"angiosperm",8.8479166192313,65.5
"249","Amomyrtus luma","temperate","AM",0,"angiosperm",8.48928571385997,2028.14285714286
"250","Amorpha canescens","temperate","AM",1,"angiosperm",7.43106057923852,803.181818181818
"251","Amorpha fruticosa","temperate","AM",1,"angiosperm",9.33333339355886,474
"252","Ampelocalamus actinotrichus","tropical","AM",0,"angiosperm",20.2833333015442,1567
"253","Ampelocera edentula","tropical","AM",0,"angiosperm",25.2645834684372,2783
"254","Ampelocera longissima","tropical","AM",0,"angiosperm",25.3083333969116,3115
"255","Ampelocera ruizii","tropical","AM",0,"angiosperm",25.6208333969116,1142
"256","Ampelopsis cantoniensis","tropical","AM",0,"angiosperm",17.2625000377496,1637
"257","Ampelopsis grossedentata","tropical","AM",0,"angiosperm",19.3958335320155,1629
"259","Amphirrhox latifolia","tropical","AM",0,"angiosperm",25.5041666030884,2251
"260","Amphirrhox longifolia","tropical","AM",0,"angiosperm",25.6577381633577,2918.42857142857
"261","Amphirrhox surinamensis","tropical","AM",0,"angiosperm",25.8416666984558,1880
"264","Anacardium occidentale","tropical","AM",0,"angiosperm",22.9097221162584,1347.33333333333
"265","Anacardium spruceanum","tropical","AM",0,"angiosperm",25.6385416984558,2887
"266","Anagyris foetida","temperate","AM",1,"angiosperm",17.366666773955,421
"267","Anaxagorea brevipes","tropical","AM",0,"angiosperm",25.3083333969116,3115
"268","Andira inermis","tropical","AM",1,"angiosperm",24.5902778042687,3062
"269","Angophora hispida","temperate","ECM",0,"angiosperm",17.7428029667247,1147.27272727273
"270","Anneslea fragrans","tropical","AM",0,"angiosperm",15.4874999324481,968
"271","Annona ambotay","tropical","AM",0,"angiosperm",25.3083333969116,3115
"272","Annona coriacea","tropical","AM",0,"angiosperm",20.0770833790302,1401.25
"273","Annona duckei","tropical","AM",0,"angiosperm",25.3083333969116,3115
"274","Annona pruinosa","tropical","AM",0,"angiosperm",21.4124999046326,1960
"275","Annona reticulata","tropical","AM",0,"angiosperm",26.4583332803514,1682.33333333333
"277","Annona squamosa","tropical","AM",0,"angiosperm",26.8281248907248,1047.75
"278","Anogeissus latifolia","tropical","AM",0,"angiosperm",24.8569444815318,1321.33333333333
"279","Anogeissus leiocarpa","tropical","AM",0,"angiosperm",26.3677082856496,1077
"280","Anopterus glandulosus","temperate","AM",0,"angiosperm",10.7791665941477,1295
"281","Anthocercis littorea","temperate","AM",0,"angiosperm",19.4395834207535,558
